Feature_Set,Split,Train_Size,Test_Size,R2_LGBM,R2_XGB,R2_RF,R2_Ensemble,MAE_LGBM,MAE_XGB,MAE_RF,MAE_Ensemble,RMSE_LGBM,RMSE_XGB,RMSE_RF,RMSE_Ensemble
OpenEye_only,3,3105,1034,0.4478626514744244,0.44399495649021836,0.4611441657915383,0.47143141775496433,0.6220305309566493,0.6179358071838172,0.6162097752496023,0.6041372013765562,0.8434057766941575,0.8463546295665201,0.833200080572073,0.8252084782606813
OpenEye_only,4,3105,1034,0.31687574618855163,0.320909870950855,0.34368707407804655,0.3509483420550279,0.643097132145704,0.642999153040364,0.6371209575164888,0.6300596456122168,0.8626120175803904,0.8600612098482705,0.8455146378424249,0.8408243565926021
OpenEye_only,5,3105,1034,0.564599113766231,0.5431451385200361,0.5783156551984319,0.5809408273128118,0.5787504133062165,0.5925157257574439,0.5792839969112992,0.571161874336449,0.7871244929769098,0.8062837324129756,0.7746267872793308,0.7722118251630367
OpenEye_only,6,3105,1034,0.3665216391857834,0.3490784965511122,0.38422267715978375,0.39081863173411047,0.624040431554803,0.6267397558712176,0.6197521781601785,0.610665785514525,0.8357038765257451,0.8471315058952038,0.8239452798707562,0.8195205166545192
Morgan_only,0,3105,1034,0.4418498722377814,0.43988246790958396,0.38262947257976754,0.44466088883936106,0.6208707797039058,0.6201364648332964,0.657221440956343,0.6176537035458766,0.8218858425862252,0.8233330870447224,0.8643884033970016,0.8198135945733339
Morgan_only,1,3105,1034,0.5184330466191007,0.5104504938244733,0.45142908970018536,0.5121414917719807,0.6249430484846195,0.6288026710220648,0.6625219774987793,0.6262738346810721,0.8219830375645453,0.8287677169486796,0.8773056054386544,0.827335117385326
Morgan_only,2,3105,1034,0.47606102916001436,0.46318511061983514,0.43206026047986024,0.4781039228425017,0.6498758847380653,0.6500098618271272,0.681904154948757,0.6458068228666997,0.8544708239712304,0.8649065050490252,0.8896271243269166,0.8528033607417665
Morgan_only,3,3105,1034,0.49205972967759526,0.46810263376107697,0.41968745380880734,0.4835438163972713,0.6118449551339041,0.6196537773383195,0.6529957035790375,0.6133061653610412,0.8089456267080729,0.8278028714540434,0.8646572525615817,0.8156986610695398
Morgan_only,4,3105,1034,0.45045850461485437,0.43451405907598306,0.3677822440881796,0.44519807006305645,0.5917324828074476,0.598017698127481,0.6269747431187868,0.5902266601399907,0.7736880649681418,0.7848317390005588,0.8298488495817621,0.7773822737165349
Morgan_only,5,3105,1034,0.5405007059319513,0.5352914381494029,0.46413211464707205,0.5327416591114944,0.615651340311606,0.6190990216589066,0.6673071029966505,0.6198030676466728,0.8086138886964224,0.813184532254469,0.8732279689860392,0.815412385002969
Morgan_only,6,3105,1034,0.3953757323132635,0.3902256776356605,0.30710980421361467,0.39460953695716894,0.6158638596592084,0.6136953537468752,0.6482144287692329,0.6075147464797714,0.8164494705878838,0.8199192647806994,0.8740146911729249,0.8169666196425904
MOE_Morgan,0,3105,1034,0.5739017739030207,0.5812034021124249,0.5359926795176466,0.5801138667042316,0.5258334091653224,0.5226170807110789,0.5418496264597354,0.519236399875856,0.718109791484307,0.7119304324039468,0.749373621389215,0.7128559050296438
MOE_Morgan,1,3105,1034,0.640860919943651,0.6373192387679523,0.6178025350577229,0.6452012465978658,0.5156534924411135,0.5178107226978649,0.5315568360975889,0.5107935181737308,0.7098487961600197,0.7133403269936369,0.732282099934311,0.7055463668529692
MOE_Morgan,2,3105,1034,0.6181425521455352,0.6201632393761339,0.5925503786525399,0.6230704164816333,0.5307815909619011,0.5319538751515476,0.5512759369702687,0.5260594556175869,0.7294701407877047,0.7275375004427587,0.7535183730499411,0.7247479560612207
MOE_Morgan,3,3105,1034,0.6112268821175232,0.6081863007367553,0.5702063757834412,0.6121577469969177,0.513577584446129,0.5206096411673659,0.5357049667457117,0.5113039302879394,0.7077194354177625,0.7104815701567841,0.744120026617745,0.706871658197487
MOE_Morgan,4,3105,1034,0.5657561905866393,0.5521062035154601,0.5207975268732971,0.5646174907114279,0.5003924978647123,0.4991106272619975,0.5282433920188232,0.4963803828537021,0.6877529624343338,0.6984787137956349,0.7224789152309368,0.6886541053703618
MOE_Morgan,5,3105,1034,0.6903443689585117,0.6968240654347007,0.6601178614499039,0.6956452340442448,0.48684501454853096,0.47791866134167643,0.5074227236938921,0.4791710545601134,0.6638015516041502,0.6568196464743294,0.6954452470201572,0.6580953552883333
MOE_Morgan,6,3105,1034,0.5178685052148184,0.5165207116254061,0.49335321366848295,0.5257289695745735,0.5283582862578176,0.5304984907578223,0.5456454109853595,0.526350757595555,0.7290700799005578,0.7300884226261234,0.7473760398881454,0.7231024340830338
OpenEye_Morgan,0,3105,1034,0.5350236159243262,0.5530349713033351,0.49750560157232593,0.5492760814612561,0.5530041570080951,0.5476955958459604,0.5670118276861827,0.5416395728167318,0.7501557339782629,0.7354832010361952,0.7798329794381644,0.738569362178749
